    | Name                                                                                | Type                                | Params
38  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.linear_layers       | ModuleList                          | 144   
39  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.linear_layers.0     | MaskedLinear                        | 72    
40  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.linear_layers.1     | MaskedLinear                        | 72    
41  | model.flow._transform._transforms.1.autoregressive_net.blocks.3.dropout             | Dropout                             | 0     
42  | model.flow._transform._transforms.1.autoregressive_net.blocks.4                     | MaskedResidualBlock                 | 176   
43  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.batch_norm_layers   | ModuleList                          | 32    
44  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.batch_norm_layers.0 | BatchNorm1d                         | 16    
45  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.batch_norm_layers.1 | BatchNorm1d                         | 16    
46  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.linear_layers       | ModuleList                          | 144   
47  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.linear_layers.0     | MaskedLinear                        | 72    
48  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.linear_layers.1     | MaskedLinear                        | 72    
49  | model.flow._transform._transforms.1.autoregressive_net.blocks.4.dropout             | Dropout                             | 0     
50  | model.flow._transform._transforms.1.autoregressive_net.final_layer                  | MaskedLinear                        | 108   
51  | model.flow._transform._transforms.2                                                 | ReversePermutation                  | 0     
52  | model.flow._transform._transforms.3                                                 | MaskedAffineAutoregressiveTransform | 1.0 K 
53  | model.flow._transform._transforms.3.autoregressive_net                              | MADE                                | 1.0 K 
54  | model.flow._transform._transforms.3.autoregressive_net.initial_layer                | MaskedLinear                        | 56    
55  | model.flow._transform._transforms.3.autoregressive_net.blocks                       | ModuleList                          | 880   
56  | model.flow._transform._transforms.3.autoregressive_net.blocks.0                     | MaskedResidualBlock                 | 176   
57  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.batch_norm_layers   | ModuleList                          | 32    
58  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.batch_norm_layers.0 | BatchNorm1d                         | 16    
59  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.batch_norm_layers.1 | BatchNorm1d                         | 16    
60  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.linear_layers       | ModuleList                          | 144   
61  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.linear_layers.0     | MaskedLinear                        | 72    
62  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.linear_layers.1     | MaskedLinear                        | 72    
63  | model.flow._transform._transforms.3.autoregressive_net.blocks.0.dropout             | Dropout                             | 0     
64  | model.flow._transform._transforms.3.autoregressive_net.blocks.1                     | MaskedResidualBlock                 | 176   
65  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.batch_norm_layers   | ModuleList                          | 32    
66  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.batch_norm_layers.0 | BatchNorm1d                         | 16    
67  | model.flow._transform._transforms.3.autoregressive_net.blocks.1.batch_norm_layers.1 | BatchNorm1d                         | 16    
